%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.temperature,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.cell_voltage0,field.location,field.serial_number
1758482364691405800,4737,1758482364691114300,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482364935775400,4738,1758482364935558500,,12.600000381469727,0.0,-28.15999984741211,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482365187960900,4739,1758482365187725800,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482365438209400,4740,1758482365438015300,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482365689162300,4741,1758482365688927100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482365939224900,4742,1758482365939030200,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482366191226100,4743,1758482366190926100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482366440683500,4744,1758482366440366900,,12.600000381469727,0.0,-28.43000030517578,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482366691983900,4745,1758482366691741300,,12.600000381469727,0.0,-28.349998474121094,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482366936449600,4746,1758482366936227500,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482367188623500,4747,1758482367188267000,,12.600000381469727,0.0,-28.059999465942383,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
